label,type,network,doc,units,IRI
A,constant,control,dynamic matrix,"[-1, 0, 0, 0, 0, 0, 0, 0]",promo:A
B,constant,control,input matrix,"[-1, 0, 0, 0, 0, 0, 0, 0]",promo:B
C,constant,control,measurement matrix,"[0, 0, 0, 0, 0, 0, 0, 0]",promo:C
D,constant,control,diagonal event matrix (no dimensional problems),"[0, 0, 0, 0, 0, 0, 0, 0]",promo:D
setPoint,constant,control,set point,"[0, 0, 0, 0, 0, 0, 0, 0]",promo:setPoint
meas,constant,control,measurements,"[0, 0, 0, 0, 0, 0, 0, 0]",promo:meas
e,constant,control,control error,"[0, 0, 0, 0, 0, 0, 0, 0]",promo:e
x,state,control,state,"[0, 0, 0, 0, 0, 0, 0, 0]",promo:x
xo,state,control,initial state,"[0, 0, 0, 0, 0, 0, 0, 0]",promo:xo
dxdt,diffState,control,differential state (ABCD) model,"[-1, 0, 0, 0, 0, 0, 0, 0]",promo:dxdt
I_N_D,constant,control,space transformation D to N,"[0, 0, 0, 0, 0, 0, 0, 0]",promo:I_N_D
Imeasured,algebraic,control,measured current,"[0, 0, 0, 0, 0, 1, 0, 0]",promo:Imeasured
UeMeasured,algebraic,control,measured electrical potential,"[-3, 2, 0, 1, 0, -1, 0, 0]",promo:UeMeasured
addMeasured,algebraic,control,measured additive fraction,"[0, 0, 0, 0, 0, 0, 0, 0]",promo:addMeasured
RComputed,algebraic,control,measured resistance ,"[-3, 2, 0, 1, 0, -2, 0, 0]",promo:RComputed
store,algebraic,control,quantities to be stored,"[0, 0, 0, 0, 0, 0, 0, 0]",promo:store
y,algebraic,control,output equation,"[0, 0, 0, 0, 0, 0, 0, 0]",promo:y
switch,algebraic,control,switches at to,"[0, 0, 0, 0, 0, 0, 0, 0]",promo:switch
