label,type,network,doc,units,IRI
additive,constant,material,fraction of additives,"[0, 0, 0, 0, 0, 0, 0, 0]",promo:additive
elResist,property,material,electrical resistant,"[-3, 2, 0, 1, 0, -2, 0, 0]",promo:elResist
elConductC,property,material,simple model for the electrical conductivity as a function of the additive,"[3, -2, 0, -1, 0, 2, 0, 0]",promo:elConductC
Mm,constant,material,species molecular mass,"[0, 0, -1, 1, 0, 0, 0, 0]",promo:Mm
Cp,property,material,total heat capacity at constant pressure,"[-2, 2, 0, 1, -1, 0, 0, 0]",promo:Cp
Cv,property,material,total heat capacity at constant volume,"[-2, 2, 0, 1, -1, 0, 0, 0]",promo:Cv
kq_x,property,material,thermal conductivity in x-direction,"[-3, 0, 0, 1, -1, 0, 0, 0]",promo:kq_x
kq_y,property,material,thermal conductivity in y-direction,"[-3, 0, 0, 1, -1, 0, 0, 0]",promo:kq_y
kq_z,property,material,thermal conductivity in z-direction',"[-3, 0, 0, 1, -1, 0, 0, 0]",promo:kq_z
kq,property,material,thermal conductivity,"[-3, 0, 0, 1, -1, 0, 0, 0]",promo:kq
kc_x,property,material,convective mass conductivity in x-direction,"[1, -1, 0, 0, 0, 0, 0, 0]",promo:kc_x
kc_y,property,material,convective mass conductivity in y-direction,"[1, -1, 0, 0, 0, 0, 0, 0]",promo:kc_y
kc_z,property,material,convective mass conductivity in z-direction,"[1, -1, 0, 0, 0, 0, 0, 0]",promo:kc_z
kc,property,material,convective mass conductivity,"[1, -1, 0, 0, 0, 0, 0, 0]",promo:kc
kd_x,property,material,diffusional mass conductivity in x-direction,"[1, -4, 2, -1, 0, 0, 0, 0]",promo:kd_x
kd_y,property,material,diffusional mass conductivity in y-direction,"[1, -4, 2, -1, 0, 0, 0, 0]",promo:kd_y
kd_z,property,material,diffusional mass conductivity in z-direction,"[1, -4, 2, -1, 0, 0, 0, 0]",promo:kd_z
kd,property,material,diffusional mass conductivity,"[1, -4, 2, -1, 0, 0, 0, 0]",promo:kd
h,property,material,partial molar enthalpies,"[-2, 2, -1, 1, 0, 0, 0, 0]",promo:h
density,property,material,density,"[0, -3, 0, 1, 0, 0, 0, 0]",promo:density
