label,type,network,doc,units,IRI
r_x,frame,physical,x-coordinate,"[0, 1, 0, 0, 0, 0, 0, 0]",promo:r_x
r_y,frame,physical,y-coordinate,"[0, 1, 0, 0, 0, 0, 0, 0]",promo:r_y
r_z,frame,physical,z_coordinate,"[0, 1, 0, 0, 0, 0, 0, 0]",promo:r_z
U,state,physical,fundamental state -- internal energy,"[-2, 2, 0, 1, 0, 0, 0, 0]",qudt:InternalEnergy
S,state,physical,fundamental state -- entropy,"[-2, 2, 0, 1, -1, 0, 0, 0]",qudt:Entropy
V,state,physical,fundamental state -- volume,"[0, 3, 0, 0, 0, 0, 0, 0]",qudt:Volume
n,state,physical,fundamental state -- molar mass,"[0, 0, 1, 0, 0, 0, 0, 0]",qudt:AmountOfSubstance
P_N_NS,projection,physical,projection of nodes onto the node species,"[0, 0, 0, 0, 0, 0, 0, 0]",promo:P_N_NS
boz,constant,physical,Boltzmann constant,"[-2, 2, 0, 1, -1, 0, 0, 0]",promo:boz
R,constant,physical,gas constant,"[-2, 2, -1, 1, -1, 0, 0, 0]",promo:R
p,effort,physical,thermodynamic pressure,"[-2, -1, 0, 1, 0, 0, 0, 0]",qudt:Pressure
T,effort,physical,temperature,"[0, 0, 0, 0, 1, 0, 0, 0]",qudt:Temperature
chemPot,effort,physical,chemical potential,"[-2, 2, -1, 1, 0, 0, 0, 0]",qudt:ChemicalPotential
H,state,physical,enthalpy,"[-2, 2, 0, 1, 0, 0, 0, 0]",qudt:Enthalpy
A,state,physical,Helmholtz energy,"[-2, 2, 0, 1, 0, 0, 0, 0]",qudt:HelmholtzEnergy
G,state,physical,Gibbs free energy,"[-2, 2, 0, 1, 0, 0, 0, 0]",qudt:GibbsEnergy
charge,state,physical,fundamental state -- charge,"[1, 0, 0, 0, 0, 1, 0, 0]",qudt:ElectricCharge
Avogadro,constant,physical,Avogadro number,"[0, 0, -1, 0, 0, 0, 0, 0]",promo:Avogadro
Ue,effort,physical,electrical potential -- voltage,"[-3, 2, 0, 1, 0, -1, 0, 0]",qudt:ElectricPotential
v_x,secondaryState,physical,velocity in x-direction,"[-1, 1, 0, 0, 0, 0, 0, 0]",promo:v_x
v_y,secondaryState,physical,velocity in y-direction,"[-1, 1, 0, 0, 0, 0, 0, 0]",promo:v_y
v_z,secondaryState,physical,velocity in z-direction,"[-1, 1, 0, 0, 0, 0, 0, 0]",promo:v_z
P_NS_AS,projection,physical,projection node species to arc species,"[0, 0, 0, 0, 0, 0, 0, 0]",promo:P_NS_AS
P_K_NK,projection,physical,projection of conversion to node conversion,"[0, 0, 0, 0, 0, 0, 0, 0]",promo:P_K_NK
P_S_NS,projection,physical,projection species to node species,"[0, 0, 0, 0, 0, 0, 0, 0]",promo:P_S_NS
P_N_NK,projection,physical,projection node to node conversion,"[0, 0, 0, 0, 0, 0, 0, 0]",promo:P_N_NK
P_NS_KS,projection,physical,projection node species to conversion species,"[0, 0, 0, 0, 0, 0, 0, 0]",promo:P_NS_KS
P_A_NS,projection,physical,projection arc to node species for conductivity,"[0, 0, 0, 0, 0, 0, 0, 0]",promo:P_A_NS
P_NK_KS,projection,physical,projection node conversion to conversion species,"[0, 0, 0, 0, 0, 0, 0, 0]",promo:P_NK_KS
P_N_A,projection,physical,projection from node to arc for arc properties,"[0, 0, 0, 0, 0, 0, 0, 0]",promo:P_N_A
