label,type,network,doc,units,IRI
P_NK,projection,reactions,reactions per node,"[0, 0, 0, 0, 0, 0, 0, 0]",promo:P_NK
c,secondaryState,reactions,concentration matrix reaction per node and species per reaction,"[0, -3, 1, 0, 0, 0, 0, 0]",promo:c
co,secondaryState,reactions,norming concentration,"[0, -3, 1, 0, 0, 0, 0, 0]",promo:co
x,secondaryState,reactions,"matrix of normed, dimensionless mole fractions ","[0, 0, 0, 0, 0, 0, 0, 0]",qudt:MoleFraction
Boltzmann,constant,reactions,Boltzmann constant,"[-2, 2, 0, 1, -1, 0, 0, 0]",promo:Boltzmann
GasConstant,constant,reactions,gas constant,"[-2, 2, -1, 1, -1, 0, 0, 0]",promo:GasConstant
N_K_KS,constant,reactions,stoichiometry,"[0, 0, 0, 0, 0, 0, 0, 0]",promo:N_K_KS
N_NK_KS,constant,reactions,extended stoichiometric matrix,"[0, 0, 0, 0, 0, 0, 0, 0]",promo:N_NK_KS
phi,secondaryState,reactions,probability function for reactions,"[0, 0, 0, 0, 0, 0, 0, 0]",promo:phi
nProd,secondaryState,reactions,the species production term,"[-1, 0, 1, 0, 0, 0, 0, 0]",promo:nProd
Ko,constant,reactions,Arrhenius frequency factor,"[-1, -3, 1, 0, 0, 0, 0, 0]",promo:Ko
T_NK,effort,reactions,temperature of the reactive system,"[0, 0, 0, 0, 1, 0, 0, 0]",promo:T_NK
Ea,constant,reactions,Arrhenius activation energy,"[-2, 2, -1, 1, 0, 0, 0, 0]",promo:Ea
K_NK,constant,reactions,Arrhenius reaction 'constant',"[-1, -3, 1, 0, 0, 0, 0, 0]",promo:K_NK
